date,close,high,low,open,priceChange
2008-01-11,"5,484.677","5,500.061","5,423.807","5,456.541",28.136
2008-01-10,"5,456.541","5,483.827","5,407.307","5,435.807",20.734
2008-01-09,"5,435.807","5,437.764","5,346.846","5,386.531",49.276
2008-01-08,"5,386.531","5,480.07","5,344.648","5,393.343",-6.812
2008-01-07,"5,393.343","5,403.349","5,332.597","5,361.574",31.769
2008-01-04,"5,361.574","5,372.461","5,318.461","5,319.861",41.713
2008-01-03,"5,319.861","5,321.457","5,211.046","5,272.814",47.047
2008-01-02,"5,272.814","5,295.016","5,201.892","5,261.563",11.251
2007-12-28,"5,261.563","5,336.499","5,248.692","5,308.889",-47.326
2007-12-27,"5,308.889","5,316.523","5,203.502","5,233.351",75.538
2007-12-26,"5,233.351","5,262.592","5,158.756","5,201.181",32.17
2007-12-25,"5,201.181","5,254.405","5,178.801","5,234.262",-33.081
2007-12-24,"5,234.262","5,284.34","5,104.645","5,101.779",132.483
2007-12-21,"5,101.779","5,112.388","5,013.759","5,043.535",58.244
2007-12-20,"5,043.535","5,050.785","4,923.295","4,941.784",101.751
2007-12-19,"4,941.784","4,960.417","4,868.354","4,836.174",105.61
2007-12-18,"4,836.174","4,905.492","4,812.156","4,876.761",-40.587
2007-12-17,"4,876.761","5,007.346","4,874.624","5,007.911",-131.15
2007-12-14,"5,007.911","5,011.201","4,860.156","4,958.043",49.868
2007-12-13,"4,958.043","5,095.152","4,954.357","5,095.543",-137.5
2007-12-12,"5,095.543","5,149.931","5,054.565","5,175.076",-79.533
2007-12-11,"5,175.076","5,209.705","5,103.747","5,161.919",13.157
2007-12-10,"5,161.919","5,168.764","4,990.718","5,091.756",70.163
2007-12-07,"5,091.756","5,096.799","5,021.366","5,035.073",56.683
2007-12-06,"5,035.073","5,065.51","4,995.472","5,042.654",-7.581
2007-12-05,"5,042.654","5,052.748","4,893.323","4,915.889",126.765
2007-12-04,"4,915.889","4,971.404","4,882.149","4,868.611",47.278
2007-12-03,"4,868.611","4,899.667","4,798.014","4,871.778",-3.167
2007-11-30,"4,871.778","4,993.74","4,861.864","5,003.333",-131.555
2007-11-29,"5,003.333","5,011.194","4,814.783","4,803.394",199.939
2007-11-28,"4,803.394","4,907.756","4,778.727","4,861.111",-57.717
2007-11-27,"4,861.111","4,947.076","4,857.038","4,958.849",-97.738
2007-11-26,"4,958.849","5,124.888","4,952.429","5,032.13",-73.281
2007-11-23,"5,032.13","5,034.225","4,896.988","4,984.161",47.969
2007-11-22,"4,984.161","5,154.858","4,969.894","5,214.225",-230.064
2007-11-21,"5,214.225","5,344.93","5,206.574","5,293.703",-79.478
2007-11-20,"5,293.703","5,338.173","5,158.542","5,269.817",23.886
2007-11-19,"5,269.817","5,333.088","5,240.424","5,316.274",-46.457
2007-11-16,"5,316.274","5,335.513","5,224.313","5,365.267",-48.993
2007-11-15,"5,365.267","5,453.74","5,338.905","5,412.694",-47.427
2007-11-14,"5,412.694","5,414.609","5,165.063","5,158.118",254.576
2007-11-13,"5,158.118","5,311.698","5,085.444","5,187.735",-29.617
2007-11-12,"5,187.735","5,250.085","5,032.578","5,315.54",-127.805
2007-11-09,"5,315.54","5,382.697","5,217.629","5,330.023",-14.483
2007-11-08,"5,330.023","5,559.151","5,328.201","5,601.783",-271.76
2007-11-07,"5,601.783","5,610.953","5,469.761","5,536.569",65.214
2007-11-06,"5,536.569","5,649.752","5,510.161","5,634.452",-97.883
2007-11-05,"5,634.452","5,787.228","5,603.47","5,777.809",-143.357
2007-11-02,"5,777.809","5,860.594","5,740.403","5,914.285",-136.476
2007-11-01,"5,914.285","6,005.131","5,912.502","5,954.765",-40.48
2007-10-31,"5,954.765","6,002.118","5,871.48","5,897.193",57.572
2007-10-30,"5,897.193","5,899.65","5,701.337","5,747.997",149.196
2007-10-29,"5,747.997","5,750.254","5,617.976","5,589.631",158.366
2007-10-26,"5,589.631","5,628.834","5,462.013","5,562.394",27.237
2007-10-25,"5,562.394","5,819.884","5,546.041","5,843.109",-280.715
2007-10-24,"5,843.109","5,906.695","5,793.557","5,773.387",69.722
2007-10-23,"5,773.387","5,776.016","5,574.84","5,667.332",106.055
2007-10-22,"5,667.332","5,804.836","5,654.907","5,818.047",-150.715
2007-10-19,"5,818.047","5,932.11","5,766.861","5,825.282",-7.235
2007-10-18,"5,825.282","6,055.473","5,804.973","6,036.281",-210.999
2007-10-17,"6,036.281","6,088.892","5,982.203","6,092.057",-55.776
2007-10-16,"6,092.057","6,124.044","6,040.713","6,030.086",61.971
2007-10-15,"6,030.086","6,039.042","5,866.131","5,903.264",126.822
2007-10-12,"5,903.264","5,959.364","5,658.812","5,913.23",-9.966
2007-10-11,"5,913.23","5,914.772","5,755.99","5,771.464",141.766
2007-10-10,"5,771.464","5,860.859","5,727.238","5,715.892",55.572
2007-10-09,"5,715.892","5,725.407","5,628.35","5,692.755",23.137
2007-10-08,"5,692.755","5,729.963",5620,"5,552.301",140.454
2007-09-28,"5,552.301","5,560.417","5,461.58","5,409.403",142.898
2007-09-27,"5,409.403","5,411.189","5,306.823","5,338.52",70.883
2007-09-26,"5,338.52","5,463.899","5,320.02","5,425.88",-87.36
2007-09-25,"5,425.88","5,509.234","5,396.482","5,485.013",-59.133
2007-09-24,"5,485.013","5,506.064","5,404.419","5,454.674",30.339
2007-09-21,"5,454.674","5,489.074","5,363.347","5,470.065",-15.391
2007-09-20,"5,470.065","5,482.425","5,396.109","5,395.265",74.8
2007-09-19,"5,395.265","5,447.36","5,336.07","5,425.208",-29.943
2007-09-18,"5,425.208","5,458.578","5,339.917","5,421.392",3.816
2007-09-17,"5,421.392","5,427.171","5,307.774","5,312.182",109.21
2007-09-14,"5,312.182","5,324.439","5,201.854","5,273.592",38.59
2007-09-13,"5,273.592","5,276.771","5,178.871","5,172.627",100.965
2007-09-12,"5,172.627","5,192.302","5,025.336","5,113.968",58.659
2007-09-11,"5,113.968","5,395.038","5,093.923","5,355.287",-241.319
2007-09-10,"5,355.287","5,356.856","5,169.905","5,277.176",78.111
2007-09-07,"5,277.176","5,405.358","5,269.25","5,393.66",-116.484
2007-09-06,"5,393.66","5,412.319","5,314.337","5,310.716",82.944
2007-09-05,"5,310.716","5,337.929","5,223.67","5,294.045",16.671
2007-09-04,"5,294.045","5,357.926","5,264.996","5,321.055",-27.01
2007-09-03,"5,321.055","5,327.538","5,257.777","5,218.825",102.23
2007-08-31,"5,218.825","5,235.157","5,158.368","5,167.884",50.941
2007-08-30,"5,167.884","5,186.526","5,109.662","5,109.427",58.457
2007-08-29,"5,109.427","5,204.526","5,063.412","5,194.689",-85.262
2007-08-28,"5,194.689","5,209.507","5,058.446","5,150.118",44.571
2007-08-27,"5,150.118","5,192.061","5,092.076","5,107.668",42.45
2007-08-24,"5,107.668","5,125.359","5,052.241","5,032.494",75.174
2007-08-23,"5,032.494","5,050.383","4,968.327","4,980.075",52.419
2007-08-22,"4,980.075","4,999.195","4,861.271","4,955.207",24.868
2007-08-21,"4,955.207","4,982.981","4,917.821","4,904.855",50.352
2007-08-20,"4,904.855","4,906.003","4,758.397","4,656.574",248.281
